"author_id","first_name","middle_name","last_name","alt_name","birth_year","death_year","gender"
1,NULL,NULL,"Anonymous","Anon. (abbreviation)",NULL,NULL,"U"
2,"Henry","Robert","Addison",NULL,1805,1876,"M"
3,"Hamilton",NULL,"Aidé","Charles Hamilton Aidé (legal name)",1826,1906,"M"
4,"Gustave",NULL,"Aimard","(pseudonym); Oliver Glaux (legal name)",1818,1883,"M"
5,"William","Harrison","Ainsworth","Will Brown (pseudonym)",1805,1882,"M"
6,"Henry","Hyde Nugent","Bankes","Henry Aitchenbie (pseudonym)",1828,1883,"M"
7,"Frances","Eleanor","Trollope","Ternan (maiden name)",1834,1913,"F"
8,"Mrs. Augustus",NULL,"Craven","Pauline Marie Armande Aglaé de la Ferronays (maiden name)",1808,1891,"F"
9,"George","Alfred","Lawrence",NULL,1827,1876,"M"
10,"Thomas",NULL,"Archer",NULL,1830,1893,"M"
11,"Frances","Charlotte","Armstrong","F. C. A. (pseudonym)",1838,1930,"F"
12,"Berthold",NULL,"Auerbach",NULL,1812,1882,"M"
13,"Alfred",NULL,"Austin","Oswald Boyle (pseudonym)",1835,1913,"M"
14,"Christiana","Jane","Douglas","Davies (married name)",1822,1887,"F"
15,"Richard","Whieldon","Baddeley",NULL,1840,1876,"M"
16,"Isabella",NULL,"Banks","Varley (maiden name); Mrs. G. Linnaeus Banks (familiar name)",1821,1897,"F"
17,"A.","C.","W.","Mrs. Wheeley (legal name)",NULL,NULL,"F"
18,"Charles","Aubyn","Beach",NULL,1828,NULL,"M"
19,"Anne",NULL,"Beale",NULL,1816,1900,"F"
20,"Arthur","William","à'Beckett",NULL,1844,1909,"M"
21,"Henry","Ward","Beecher",NULL,1813,1887,"M"
22,"Emily","Ernst","Bell","Mrs. Fairfax (pseudonym); Mrs. Evans Bell (familiar name)",1840,1893,"F"
23,"John","Chippendall Montesquieu","Bellew","Higgins (former name)",1823,1874,"M"
24,"Mary","E.","Bennett","Saunders (maiden name)",1813,1899,"F"
25,"Herman","Ludolph","Prior",NULL,1818,1903,"M"
26,"Frances","E. M.","Notley","Thomas (maiden name); Francis Derrick (pseudonym)",1820,1912,"F"
27,"George","de la Poer","Beresford",NULL,1826,1865,"M"
28,"Mary","Ann","Bird","Atherstone (maiden name)",1815,NULL,"F"
29,"William",NULL,"Black",NULL,1841,1898,"M"
30,"Richard","Doddridge","Blackmore",NULL,1825,1900,"M"
31,"Lady",NULL,"Blake","Elizabeth Lock (maiden name)",1806,1877,"F"
32,"Sidney","Laman","Blanchard",NULL,1825,1883,"M"
33,"Margaret",NULL,"Blount","(pseudonym); Mary Stanley Gibson (legal name); Mary O. Francis (alternate name)",NULL,NULL,"F"
34,"Mary","von","Bothmer","Countess von Bothmer (title)",1842,1901,"F"
35,"John","Cox","Boyce","An Oxford M.A. (pseudonym)",1827,1889,"M"
37,"Mary","Elizabeth","Braddon","Lady Caroline Lascelles (pseudonym); Babington White (pseudonym); Mrs. John Maxwell (married name)",1835,1915,"F"
38,"Walter","Bradford","Woodgate","Wat Bradwood (pseudonym)",1840,1920,"M"
40,"William",NULL,"Brewer",NULL,1812,1881,"M"
