"title_id","author_id","title","volumes","publisher_location","publisher_name","publication_year"
1,45,"Abbot's Cleve: or, Can It be Proved? A Novel",3,"London","Tinsley Brothers",1864
2,58,"Ada Fortescue: A Novel",3,"London","T. C. Newby",1863
3,1,"Ada Moore's Story: A Novel",3,"London","Tinsley Brothers",1867
4,2,"Behind the Curtain: A Novel",3,"London","John Maxwell",1865
5,1495,"The Agent of Broome Warren: A Novel",3,"London","Bentley",1871
6,3,"The Marstons: A Novel",3,"London","Chapman and Hall",1868
7,4,"The Bee-Hunters",3,"London","John Maxwell",1864
8,5,"Cardinal Pole: or, The Days of Philip and Mary. An Historical Romance",3,"London","Chapman and Hall",1863
9,5,"The Constable de Bourbon",3,"London","Chapman and Hall",1866
10,5,"Hilary St. Ives",3,"London","Chapman and Hall",1870
11,5,"John Law, the Projector",3,"London","Chapman and Hall",1864
12,5,"Myddleton Pomfret: A Novel",3,"London","Chapman and Hall",1868
13,5,"Old Court: A Novel",3,"London","Chapman and Hall",1867
14,5,"The Spanish Match: or, Charles Stuart at Madrid",3,"London","Chapman and Hall",1865
15,6,"Melchior Gorles: Tale of Modern Mesmerism",3,"London","J. C. Hotten",1867
16,69,"Alec's Bride",3,"London","Hurst and Blackett",1867
17,259,"Altogether Wrong",3,"London","Tinsley Brothers",1863
18,1324,"Andrew Ramsay of Errol",3,"London","Hurst and Blackett",1865
19,7,"Anne Furness: A Novel",3,"London","Chapman and Hall",1871
20,8,"Anne Severin",3,"London","Bentley",1869
21,9,"Anteros: A Novel",3,"London","Chapman and Hall",1871
22,10,"A Fool's Paradise: A Novel",3,"London","Tinsley Brothers",1870
23,10,"Strange Work: A Novel",3,"London","Tinsley Brothers",1868
24,1081,"The Naval Lieutenant: A Nautical Romance",3,"London","T. C. Newby",1865
25,1081,"The Pirates of ""The Foam"": A Novel",3,"London","T. C. Newby",1863
26,1081,"The Queen of the Seas: A Tale of Sea and Land",3,"London","T. C. Newby",1864
27,1081,"The Wild Gazelle and Other Tales",3,"London","T. C. Newby",1868
28,14,"Arthur",3,"London","Hurst and Blackett",1870
29,12,"The Country House on the Rhine",3,"London","Bentley",1870
30,13,"An Artist's Proof",3,"London","Tinsley Brothers",1864
31,13,"Won by a Head: A Novel",3,"London","Chapman and Hall",1866
32,15,"The Fortune of Fairstone: A Novel",3,"London","Saunders and Otley",1867
33,15,"The Village of the West",3,"London","Hurst and Blackett",1870
34,16,"Stung to the Quick: A North Country Story",3,"London","Charles W. Wood",1867
35,17,"The Baronet's Sunbeam: A Novel",3,"London","Tinsley Brothers",1870
36,18,"Left to the World",3,"London","John Maxwell",1865
37,18,"Lost Lenore: or, The Adventures of a Rolling Stone",3,"London","C. J. Skeet",1864
38,19,"Nothing Venture, Nothing Have: A Novel",3,"London","Bentley",1864
39,20,"Fallen Among Thieves: A Novel of ""Interest""",3,"London","Chapman and Hall",1870
40,21,"Norwood: or, Village Life in New England",3,"London","Sampson Low",1867
41,25,"""Behind the Veil""",3,"London","Smith, Elder",1871
42,22,"A First Appearance",3,"London","Hurst and Blackett",1872
43,23,"Blount Tempest",3,"London","Hurst and Blackett",1865
44,26,"Beneath the Wheels: A Romance",3,"London","Tinsley Brothers",1870
45,24,"Stella",3,"London","John Maxwell",1864
46,27,"Hoods and Masks",3,"London","C. J. Skeet",1865
47,60,"Beyond the Church",3,"London","Hurst and Blackett",1866
48,28,"The Fate of Thorsghyll",3,"London","John Maxwell",1865
49,29,"A Daughter of Heth: A Novel",3,"London","Sampson Low",1871
50,29,"In Silk Attire: A Novel",3,"London","Tinsley Brothers",1869
51,29,"Kilmeny",3,"London","Sampson Low",1870
52,29,"Love or Marriage?: A Novel",3,"London","Tinsley Brothers",1868
53,29,"The Monarch of Mincing-Lane: A Novel",3,"London","Tinsley Brothers",1871
54,1712,"Blackfriars: or, The Monks of Old. A Romantic Chronicle",3,"London","Longman",1864
55,30,"Cradock Nowell: A Tale of the New Forest",3,"London","Chapman and Hall",1866
56,30,"Lorna Doone: A Romance of Exmoor",3,"London","Sampson Low",1869
57,31,"Claude",3,"London","Hurst and Blackett",1870
58,31,"The Hammonds of Holycross",3,"London","Hurst and Blackett",1865
59,31,"Helen's First Love",3,"London","Hurst and Blackett",1869
60,31,"The Lady of Lyndon",3,"London","Hurst and Blackett",1871
61,31,"Mrs. St. Clair's Son",3,"London","Hurst and Blackett",1868
62,31,"My Step-Father's Home",3,"London","Hurst and Blackett",1864
63,31,"The Sisters of Sainthill",3,"London","Hurst and Blackett",1867
64,31,"The Wife's Error",3,"London","Hurst and Blackett",1866
65,32,"Riddles of Love: or, The Knave of Hearts",3,"London","Hurst and Blackett",1871
66,1530,"Blanche Seymour: A Novel",3,"London","Tinsley Brothers",1871
67,67,"Blindpits",3,"London","Hamilton",1868
68,33,"Barbara Home",3,"London","John Maxwell",1864
69,66,"The Bond of Honour: A Heart History",3,"London","Bentley",1870
70,193,"A Book of Heroines",3,"London","Hurst and Blackett",1869
71,34,"Cruel as the Grave",3,"London","Henry S. King",1871
72,34,"Strong Hands and Steadfast Hearts",3,"London","Tinsley Brothers",1870
73,35,"The House of Percival",3,"London","Hurst and Blackett",1871
74,13,"Jessie's Expiation: A Novel",3,"London","Tinsley Brothers",1867
75,37,"Birds of Prey: A Novel",3,"London","Ward, Lock",1867
76,37,"Charlotte's Inheritance: A Novel",3,"London","Ward, Lock",1868
77,37,"Dead-Sea Fruit: A Novel",3,"London","Ward, Lock",1868
78,37,"The Doctor's Wife",3,"London","John Maxwell",1864
79,37,"Eleanor's Victory",3,"London","Tinsley Brothers",1863
80,37,"Fenton's Quest: A Novel",3,"London","Ward, Lock",1871
81,37,"Henry Dunbar: The Story of an Outcast",3,"London","John Maxwell",1864
82,37,"John Marchmont's Legacy",3,"London","Tinsley Brothers",1863
83,37,"The Lady's Mile",3,"London","Ward, Lock",1866
84,37,"The Lovels of Arden: A Novel",3,"London","John Maxwell",1871
85,37,"Only a Clod",3,"London","John Maxwell",1865
86,37,"Run to Earth: A Novel",3,"London","Ward, Lock",1868
87,37,"Rupert Godwin",3,"London","Ward, Lock",1867
88,37,"Sir Jasper's Tenant",3,"London","John Maxwell",1865
89,38,"Ensemble",3,"London","Chapman and Hall",1870
90,38,"The O. V. H.: or, How Mr. Blake became an M. F. H.",3,"London","Chapman and Hall",1869
91,9,"Brakespeare: or, The Fortunes of a Free Lance",3,"London","Tinsley Brothers",1868
92,41,"A Brave Lady",3,"London","Hurst and Blackett",1870
93,9,"Breaking a Butterfly: or, Blanche Ellerslie's Ending",3,"London","Tinsley Brothers",1869
94,40,"Beatrice Sforza: or, The Progress of Truth",3,"London","Chapman and Hall",1863
95,230,"Brothers-in-Law",3,"London","Hurst and Blackett",1869
96,42,"Respectable Sinners",3,"London","Hurst and Blackett",1863
97,43,"Florence Manvers",3,"London","T. C. Newby",1865
98,1,"Burton Abbots: A Woman's Story. In Four Books",3,"London","T. C. Newby",1863
99,44,"Paid in Full: A Novel",3,"London","John Maxwell",1865
100,46,"Martin Tobin: A Novel",3,"London","John Maxwell",1864
101,46,"A Woman's Confession",3,"London","Hurst and Blackett",1866
102,47,"The Buckhurst Volunteers: A Novel",3,"London","Tinsley Brothers",1869
103,47,"The Mosaic-Worker's Daughter: A Novel",3,"London","Bentley",1868
104,55,"Captain Herbert: A Sea Story",3,"London","Chapman and Hall",1864
105,48,"Nellie's Memories: A Domestic Story",3,"London","Tinsley Brothers",1868
106,49,"The Guardian",3,"London","Bentley",1865
107,45,"Carleton Grange: A Novel",3,"London","Tinsley Brothers",1866
108,60,"Carry's Confession",3,"London","Hurst and Blackett",1865
109,50,"Fenacre Grange: A Novel",3,"London","Tinsley Brothers",1870
110,51,"Chandos: A Novel",3,"London","Chapman and Hall",1866
111,52,"Country Coteries",3,"London","Hurst and Blackett",1868
112,52,"The Heiress and Her Lovers: A Novel",3,"London","Bentley",1863
113,59,"Chesterford, and Some of its People",3,"London","Smith, Elder",1863
