title,artists,artist_nationality,genre,object_type,height,width,area,seller,seller_type,buyer,buyer_type,buyer_address,coordinates,purchase_date,sale_date,purchase_price,sale_price,sale_year,purchase_year
John Campbell,"RAEBURN, HENRY",British,Portrait,Painting,30,25,750,Agnew's,Dealer,"Frick, Henry Clay",Collector,"1 E. 70th St., New York, NY, USA","40.771147,-73.967993",12/8/12,12/12/16,440,9500,1916,1912
Port of Adam Rolland of Gask Advocate Born 1734 Died 1819,"RAEBURN, HENRY",British,Portrait,Painting,35.75,27.625,987.59375,Wallis and Son,Dealer,"Jennings, Walter",Collector,"26 Broadway, New York, NY, USA","40.706214,-74.012948",1/13/12,5/2/12,725,8500,1912,1912
A pink on shore at Schweningen,"MARIS, JACOB HENRICUS",Dutch,Landscape,Painting,,,,American Art Association,Dealer,"Lewisohn, Adolph",Collector,"9 W. 57th St., New York, NY, USA","40.763142,-73.974131",2/2/12,1/11/13,3400,4500,1913,1912
The Thau,"CAZIN, JEAN CHARLES",French,Landscape,Painting,,,,American Art Association,Dealer,"Lewisohn, Adolph",Collector,"9 W. 57th St., New York, NY, USA","40.763142,-73.974131",2/2/12,2/3/12,1450,2250,1912,1912
"""No man's land"" [title from sales book 9, 1907-1912, f.388]","WYANT, ALEXANDER HELWIG",American,Genre,Painting,,,,American Art Association,Dealer,"Clark, William (New York)",Collector,"51 E. 74th St., New York, NY, USA","40.772964,-73.964079",2/2/12,2/8/12,6500,7500,1912,1912
"Duke of Gloucester; H.R.H. Duke of Gloucester [title info from Sales Book 10, f.113","BEECHEY, WILLIAM",British,Portrait,Painting,,,,"Reid, Daniel Gray",Collector,"Skinner, William Cobbett",Collector,"36 E. 39th St., New York, NY, USA","40.750728,-73.980512",2/2/12,3/1/13,1275,7500,1913,1912
"[""Banks of the river Oise at Conflans"" title info from Sales Book 10, 1912-1916, f.27]","DAUBIGNY, CHARLES FRANÇOIS",French,Landscape,Painting,,,,"Reid, Daniel Gray",Collector,"Gary, Elbert Henry",Collector,"Waldorf Astoria, New York, NY, USA","40.730079,-73.992841",2/2/12,5/6/12,12000,22000,1912,1912
Mrs. Alex Henderson From Coll of Mrs. J.M. Burn of Bath Illustrated Greig's Raeburn page 32 Christie's Sale Dec. 16/11,"RAEBURN, HENRY",British,Portrait,Painting,,,,Colnaghi's,Dealer,"Milton, Mildred Anna",Collector,"46 E. 50th St., New York, NY, USA","40.757634,-73.975341",3/3/12,5/8/12,840,12000,1912,1912
Billy & Dick sellers; The Old Road Rolleboise Landscape sheep,"RUSSEAU, PERCIVAL LEONARD",American,Landscape; Animals,Painting,,,,"Russeau, Percival Leonard",Artist,"Borden, L.M.",Collector,"384 Fifth Ave., New York, NY, USA","40.76457,-73.973636",3/4/12,6/7/17,400,500,1917,1912
Matinée près Estrelles,"HARPIGNIES, HENRI",French,Landscape,Painting,32,25.75,824,"Roebling, Charles G.",Collector,"Tanenbaum, Moses",Collector,"31 W. 75th St., New York, NY, USA","40.778599,-73.975293",3/12/12,4/4/12,4000,6000,1912,1912
Diana & Actaeon; Diana & Actaeon Lot 4,"WTEWAEL, JOACHIM ANTONISZ.",Dutch,History,Painting,18.25,25.75,469.9375,Christie's,Dealer,"Hunt, Joseph H.",Collector,"28 E. 21st St., New York, NY, USA","40.740563,-73.991214",3/3/12,2/8/16,1.1,10,1916,1912
Le menu du Monseigneur,"DELORT, CHARLES EDOUARD",French,Genre,Painting,,,,Goupil et Cie.,Dealer,"Vanderbilt, William Kissam",Collector,"5 E. 44th St., New York, NY, USA","40.754756,-73.979737",1878-09-09,1878-11-11,4500,1500,1878,1878
Port of a Man; Port of a man in brown coat & red vest Lot 110,[BRITISH],British,Portrait,Painting,64.25,54,3469.5,Christie's,Dealer,American Art Association,Dealer,"30 E. 57th St., New York, NY, USA","40.763556,-73.975184",3/3/12,4/1/27,42,123,1927,1912
Italie delivrée; Italie délivrée,"HEBERT, ANTOINE AUGUSTE ERNEST",French,History,Painting,,,,Goupil et Cie.,Dealer,"Rhines, J.O.",Collector,"49 W. 51st St., New York, NY, USA","40.758358,-73.974749",1878-09-09,1881-02-02,750,150,1881,1878
Feeding the Nestlings,"MILLET, JEAN FRANÇOIS (1814)",French,Genre,Pastel,,,,Roebel and Reinhardt Galleries,Dealer,Roebel and Reinhardt Galleries,Dealer,"565 Fifth Ave., New York, NY, USA","40.806416,-73.942262",3/11/12,5/10/12,5000,7250,1912,1912
Daybreak Early Spring,"TRYON, DWIGHT WILLIAM",American,Landscape,Painting,11.75,15.75,185.0625,"Tryon, Dwight William",Artist,Roebel and Reinhardt Galleries,Dealer,"565 Fifth Ave., New York, NY, USA","40.806416,-73.942262",3/8/12,5/10/12,900,1300,1912,1912
"Bronze Louis XV ""The wrestlers"" formerly bgt by us of E. M. Hodgkins London",[ANONYMOUS],Unknown,Genre,Sculpture,,,,"Silo, James P.",Dealer,"Gary, Elbert Henry",Collector,"Waldorf Astoria, New York, NY, USA","40.730079,-73.992841",5/2/12,5/6/12,250,1500,1912,1912
Peasant girl in flower garden,"KNIGHT, RIDGWAY",American,Genre,Painting,,,,"Sherry, Louis",Collector,"Graham, (James & Sons), Gallery",Dealer,"420 Madison Ave., New York, NY, USA","40.75687,-73.976442",5/1/12,12/7/16,1500,1650,1916,1912
Underbrush; Underbrush Forest of Fontainebleau,"DIAZ DE LA PEÑA, NARCISSE VIRGILE",French,Landscape,Painting,12.75,17.375,221.53125,"Jennings, Walter",Collector,"Gallatin, R. Horace",Collector,"438 Madison Ave., New York, NY, USA","40.757357,-73.976062",5/2/12,7/12/12,3500,7000,1912,1912
