script_id,imdb_character_name,words,gender,age,total_dialogue,imdb_id,title,year,gross (inflation-adjusted),link,proportion_of_dialogue
280,betty,311,f,35.0,6394,tt0112579,The Bridges of Madison County,1995,142.0,http://www.awesomefilm.com/script/bomc.txt,0.048639349390053176
280,carolyn johnson,873,f,,6394,tt0112579,The Bridges of Madison County,1995,142.0,http://www.awesomefilm.com/script/bomc.txt,0.13653425086018142
280,eleanor,138,f,,6394,tt0112579,The Bridges of Madison County,1995,142.0,http://www.awesomefilm.com/script/bomc.txt,0.02158273381294964
280,francesca johns,2251,f,46.0,6394,tt0112579,The Bridges of Madison County,1995,142.0,http://www.awesomefilm.com/script/bomc.txt,0.3520487957460119
280,madge,190,f,46.0,6394,tt0112579,The Bridges of Madison County,1995,142.0,http://www.awesomefilm.com/script/bomc.txt,0.029715358148264
623,daphne handlova,409,f,28.0,9108,tt0179626,15 Minutes,2001,37.0,film_20100519/all_imsdb_05_19_10/15-Minutes.html,0.04490557751427317
623,honey the hooke,148,f,,9108,tt0179626,15 Minutes,2001,37.0,film_20100519/all_imsdb_05_19_10/15-Minutes.html,0.016249451032059728
623,nicolette karas,801,f,34.0,9108,tt0179626,15 Minutes,2001,37.0,film_20100519/all_imsdb_05_19_10/15-Minutes.html,0.08794466403162056
623,rose hearn,166,f,26.0,9108,tt0179626,15 Minutes,2001,37.0,film_20100519/all_imsdb_05_19_10/15-Minutes.html,0.018225735617039964
625,elena,155,f,37.0,4401,tt0062622,2001: A Space Odyssey,1968,376.0,film_20100519/all_imsdb_05_19_10/2001-A-Space-Odyssey.html,0.035219268348102704
630,mary d'annunzio,256,f,20.0,10132,tt0307901,25th Hour,2002,19.0,film_20100519/all_imsdb_05_19_10/25th-Hour.html,0.025266482431898933
630,naturelle rivie,817,f,23.0,10132,tt0307901,25th Hour,2002,19.0,film_20100519/all_imsdb_05_19_10/25th-Hour.html,0.08063560994867745
633,judith gopnik,227,f,,9029,tt1019452,A Serious Man,2009,10.0,film_20100519/all_imsdb_05_19_10/A-Serious-Man.html,0.025141211651345665
633,mimi,219,f,,9029,tt1019452,A Serious Man,2009,10.0,film_20100519/all_imsdb_05_19_10/A-Serious-Man.html,0.02425517776054934
633,sarah,290,f,,9029,tt1019452,A Serious Man,2009,10.0,film_20100519/all_imsdb_05_19_10/A-Serious-Man.html,0.03211872854136671
633,shtetl wife,130,f,,9029,tt1019452,A Serious Man,2009,10.0,film_20100519/all_imsdb_05_19_10/A-Serious-Man.html,0.014398050725440249
640,john emdall,226,f,46.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.03685583822570124
640,penny priddy,653,f,30.0,6132,tt0086856,The Adventures of Buckaroo Banzai Across the 8th Dimension,1984,,"film_20100519/all_imsdb_05_19_10/Adventures-of-Buckaroo-Banzai-Across-the-Eighth-Dimension,-The.html",0.10649054142204827
642,delores 'jacks',686,f,39.0,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.08745537990821009
642,rosa toscani,168,f,66.0,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.021417644059153494
642,sara toscani,198,f,30.0,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.0252422233554309
642,watanabe,265,f,,7844,tt0094602,Above the Law,1988,40.0,film_20100519/all_imsdb_05_19_10/Above-the-Law.html,0.033783783783783786
647,alice marshall,371,f,13.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.060119915734889
647,grace marshall,497,f,41.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.08053800032409658
647,press secretary,235,f,42.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.03808134824177605
647,vice president ,389,f,50.0,6171,tt0118571,Air Force One,1997,327.0,film_20100519/all_imsdb_05_19_10/Air-Force-One.html,0.06303678496191865
648,bernice,124,f,,5484,tt0080339,Airplane!,1980,269.0,film_20100519/all_imsdb_05_19_10/Airplane.html,0.02261123267687819
648,elaine,904,f,25.0,5484,tt0080339,Airplane!,1980,269.0,film_20100519/all_imsdb_05_19_10/Airplane.html,0.1648431801604668
648,randy,472,f,24.0,5484,tt0080339,Airplane!,1980,269.0,film_20100519/all_imsdb_05_19_10/Airplane.html,0.08606856309263311
650,elaine,930,f,27.0,5842,tt0083530,Airplane II: The Sequel,1982,,film_20100519/all_imsdb_05_19_10/Airplane-2-The-Sequel.html,0.15919205751454982
